system   D            wsystem.c:583  maybe_parent_dir                 [   0.00262] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.28642] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.28699] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.28758] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.28827] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.28887] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.28949] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.29023] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.29092] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.29162] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.29250] Single Buffer requirement not met.
