system   D            wsystem.c:583  maybe_parent_dir                 [   0.00266] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.21373] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21427] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.21492] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21553] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.21606] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21667] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.21738] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21806] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21867] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21928] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21999] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.22067] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.22128] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.22198] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.22259] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.22324] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.22385] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.22446] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.22503] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.22566] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.22627] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.22686] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.22736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.22788] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.22852] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.22910] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.22976] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.23029] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23089] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.23148] Single Buffer requirement not met.
